NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
GUARANI D'OESTE,3518008,-20.066914243411734,-50.34482390796405,75523
GUARANTÃ,3518107,-21.916213568202767,-49.5886170656764,77798
GUARARAPES,3518206,-21.285488160502105,-50.69520262796402,77810
GUARAREMA,3518305,-23.42773080816201,-46.058464405889474,75540
GUARATINGUETÁ,3518404,-22.793632769079352,-45.23250141821161,77836
GUAREÍ,3518503,-23.370258245072705,-48.21880548197589,77852
GUARIBA,3518602,-21.39611917442064,-48.2265000412172,75566
GUARUJÁ,3518701,-23.950381796873337,-46.23567993267543,79910
GUARULHOS,3518800,-23.4024830198151,-46.454819641424216,77879
GUATAPARÁ,3518859,-21.45298358943226,-47.980116104160174,77895
GUZOLÂNDIA,3518909,-20.62821906010055,-50.713867472592895,77917
HERCULÂNDIA,3519006,-21.96231341300837,-50.37301592643,75582
HOLAMBRA,3519055,-22.630241194016165,-47.06500566769419,77933
HORTOLÂNDIA,3519071,-22.87863160662917,-47.20754857015338,77950
IACANGA,3519105,-21.890834149942716,-49.03959879009649,74683
IACRI,3519204,-21.80011499868597,-50.619443981760966,79553
IARAS,3519253,-22.819138119217435,-49.10686262112408,77976
IBATÉ,3519303,-21.951277195047727,-48.02738696877316,77992
IBIRÁ,3519402,-21.074307783806386,-49.22047822101282,78018
IBIRAREMA,3519501,-22.81299788488705,-50.076818849866626,74705
IBITINGA,3519600,-21.79289247235616,-48.847812903084574,78034
IBIÚNA,3519709,-23.802879687119336,-47.21538254313465,74721
ICÉM,3519808,-20.367395598237,-49.1850864102972,78050
IEPÊ,3519907,-22.648585086023267,-51.05697596345704,78077
IGARAÇU DO TIETÊ,3520004,-22.541745076153198,-48.57414136565821,78093
IGARAPAVA,3520103,-20.06383957881857,-47.68241366328586,78115
IGARATÁ,3520202,-23.134844655069042,-46.15024436102042,75604
IGUAPE,3520301,-24.549542550470363,-47.47436694429732,78131
ILHABELA,3520400,-23.84822605477729,-45.32446779914133,78158
ILHA COMPRIDA,3520426,-24.859106340230213,-47.71525296003654,78174
ILHA SOLTEIRA,3520442,-20.43132425266343,-51.25890831592291,78190
INDAIATUBA,3520509,-23.106185264300628,-47.20246981192992,74748
INDIANA,3520608,-22.133715686637625,-51.26274507951015,75620
INDIAPORÃ,3520707,-19.94781978820017,-50.26359288411246,78212
INÚBIA PAULISTA,3520806,-21.738984526587934,-50.957282636678976,78239
IPAUSSU,3520905,-23.06507722367159,-49.60798032989951,78255
IPERÓ,3521002,-23.40369591928947,-47.62928107562542,78271
IPEÚNA,3521101,-22.42437472156108,-47.71587462408557,78298
IPIGUÁ,3521150,-20.647497129282954,-49.40376513993954,75744
IPORANGA,3521200,-24.51266624032457,-48.546598500336984,78310
IPUÃ,3521309,-20.417935284255194,-48.066465615112065,78336
IRACEMÁPOLIS,3521408,-22.593143485934323,-47.52421021385976,78352
IRAPUÃ,3521507,-21.26813672508165,-49.39729526171216,78379
IRAPURU,3521606,-21.484603274099946,-51.34660435506813,78395
ITABERÁ,3521705,-23.87129751140904,-49.14241033983902,78417
ITAÍ,3521804,-23.47156163283825,-49.054370317795886,78433
ITAJOBI,3521903,-21.35554773379488,-49.053968026584606,78450
ITAJU,3522000,-21.95155879754724,-48.79414632025821,79715
ITANHAÉM,3522109,-24.09187854497053,-46.83438786960173,78476
ITAOCA,3522158,-24.617519845672717,-48.839497160855856,78492
ITAPECERICA DA SERRA,3522208,-23.73713553685261,-46.858819372261756,78514
ITAPETININGA,3522307,-23.645406804922704,-48.123203307356384,74764
ITAPEVA,3522406,-23.914128023855877,-48.871545543082206,74802
ITAPEVI,3522505,-23.550526394594,-46.96747792664871,78530
